"Date","Chrome","Firefox","Safari","IE","Edge Legacy","Opera","Edge","Yandex Browser","UC Browser","360 Safe Browser","Coc Coc","QQ Browser","Sogou Explorer","Chromium","Maxthon","Mozilla","Whale Browser","Vivaldi","Pale Moon","Phantom","SeaMonkey","Other"
2017-02,62.95,14.81,5.34,9.62,3.68,1.6,0,0.5,0.24,0.12,0.29,0.11,0.16,0.18,0.16,0.04,0,0.03,0.02,0.03,0.02,0.09
2017-03,62.81,14.97,5.28,9.39,3.64,1.93,0,0.51,0.2,0.09,0.34,0.11,0.15,0.19,0.14,0.04,0,0.03,0.03,0.05,0.03,0.08
2017-04,63.45,14.53,5.2,9,3.71,2.08,0,0.56,0.26,0.09,0.31,0.11,0.15,0.16,0.14,0.04,0,0.04,0.02,0.05,0.02,0.08
2017-05,63.36,14.17,5.25,9.2,3.74,2.12,0,0.52,0.32,0.12,0.36,0.12,0.16,0.17,0.15,0.04,0,0.04,0.02,0.03,0.02,0.09
2017-06,63.23,13.98,5.15,9.28,3.89,2.22,0,0.51,0.34,0.13,0.37,0.14,0.18,0.16,0.15,0.04,0,0.04,0.03,0.04,0.02,0.09
2017-07,63.48,13.82,5.04,9.03,3.95,2.25,0,0.59,0.32,0.19,0.35,0.19,0.19,0.18,0.16,0.04,0,0.04,0.03,0.04,0.02,0.1
2017-08,63.58,13.73,5.51,8.61,3.95,2.36,0,0.52,0.31,0.12,0.37,0.15,0.17,0.16,0.15,0.04,0,0.04,0.04,0.05,0.02,0.11
2017-09,63.98,13.6,5.46,8.21,4.3,2.29,0,0.49,0.46,0.09,0.23,0.13,0.16,0.15,0.14,0.04,0,0.04,0.04,0.08,0.03,0.09
2017-10,63.6,13.04,5.89,8.34,4.43,2.23,0,0.49,0.78,0.1,0.23,0.15,0.13,0.15,0.12,0.04,0.01,0.04,0.05,0.06,0.03,0.07
2017-11,64.02,12.55,6.08,8.47,4.29,2.17,0,0.49,0.79,0.07,0.25,0.15,0.13,0.14,0.11,0.03,0.02,0.04,0.04,0.06,0.02,0.07
2017-12,64.72,12.21,6.29,7.71,4.18,2.31,0,0.53,0.9,0.06,0.24,0.19,0.12,0.13,0.12,0.03,0.01,0.04,0.03,0.08,0.02,0.07
2018-01,65.98,11.87,5.87,7.28,4.11,2.35,0,0.52,0.87,0.06,0.22,0.2,0.12,0.13,0.12,0.03,0.01,0.04,0.04,0.06,0.03,0.07
2018-02,67.49,11.54,5.42,6.91,4.04,2.24,0,0.53,0.86,0.05,0.15,0.18,0.11,0.12,0.11,0.03,0.01,0.04,0.03,0.06,0.02,0.05
2018-03,66.93,11.6,5.37,7.02,4.18,2.29,0,0.52,0.88,0.05,0.23,0.27,0.15,0.13,0.12,0.03,0.02,0.05,0.02,0.06,0.01,0.07
2018-04,66.17,11.78,5.48,7.17,4.26,2.33,0,0.45,0.85,0.06,0.31,0.38,0.19,0.14,0.15,0.03,0.02,0.05,0.03,0.06,0.01,0.08
2018-05,66.93,11.55,5.48,6.97,4.15,2.36,0,0.43,0.88,0.04,0.3,0.21,0.13,0.15,0.11,0.03,0.02,0.05,0.04,0.07,0.01,0.08
2018-06,66.87,11.44,5.38,7.13,4.16,2.47,0,0.41,0.92,0.05,0.29,0.23,0.14,0.15,0.1,0.04,0.03,0.05,0.03,0.05,0.01,0.07
2018-07,67.6,11.23,5.01,6.97,4.19,2.48,0,0.4,0.92,0.05,0.25,0.23,0.13,0.16,0.1,0.04,0.03,0.05,0.03,0.06,0.01,0.08
2018-08,67.66,10.96,5.13,6.97,4.24,2.48,0,0.39,0.89,0.17,0.24,0.2,0.12,0.17,0.1,0.04,0.02,0.05,0.02,0.04,0.01,0.08
2018-09,67.88,10.94,5.58,6.45,4.36,2.44,0,0.42,0.88,0.06,0.23,0.14,0.11,0.16,0.1,0.05,0.02,0.05,0.02,0,0.01,0.06
2018-10,69.64,10.14,5.61,6.01,4.21,2.29,0,0.41,0.73,0.03,0.22,0.13,0.1,0.16,0.08,0.06,0.02,0.05,0.02,0,0.01,0.06
2018-11,72.38,9.1,5.06,5.38,4,2.18,0,0.39,0.55,0.02,0.2,0.13,0.14,0.15,0.08,0.05,0.02,0.04,0.02,0,0.01,0.08
2018-12,70.95,10.05,5.06,5.4,4.17,2.38,0,0.43,0.55,0.03,0.23,0.15,0.11,0.18,0.08,0.05,0.02,0.05,0.02,0,0.01,0.07
2019-01,70.88,9.5,5.15,5.74,4.41,2.37,0,0.42,0.49,0.07,0.19,0.15,0.16,0.16,0.09,0.06,0.02,0.05,0.02,0,0.01,0.06
2019-02,71.58,8.72,5.77,5.34,4.34,2.41,0,0.43,0.47,0.05,0.15,0.14,0.15,0.16,0.08,0.06,0.02,0.05,0.02,0,0.01,0.05
2019-03,69.52,9.58,6.46,5.44,4.56,2.43,0,0.45,0.47,0.04,0.26,0.16,0.14,0.18,0.08,0.06,0.03,0.05,0.02,0,0.01,0.05
2019-04,69.55,9.78,6.91,5.16,4.37,2.38,0,0.4,0.42,0.04,0.25,0.16,0.14,0.16,0.08,0.05,0.04,0.05,0.02,0,0.01,0.04
2019-05,69.49,9.95,6.94,5.09,4.32,2.35,0,0.37,0.39,0.06,0.25,0.17,0.16,0.15,0.08,0.05,0.04,0.05,0.03,0,0.01,0.04
2019-06,70.71,9.76,5.64,5.03,4.5,2.45,0,0.4,0.39,0.05,0.27,0.2,0.11,0.16,0.08,0.06,0.05,0.05,0.03,0,0.01,0.05
2019-07,71.05,9.52,5.41,5,4.6,2.44,0,0.41,0.4,0.05,0.3,0.23,0.11,0.16,0.08,0.06,0.06,0.05,0.03,0,0.01,0.05
2019-08,71.15,9.52,5.8,4.4,4.71,2.46,0,0.41,0.38,0.04,0.33,0.18,0.12,0.16,0.08,0.06,0.05,0.05,0.03,0,0.01,0.05
