"Date","Safari","Chrome","Android","Opera","UC Browser","Firefox","Puffin","IE","Yandex Browser","Kindle","Silk","Edge Legacy","QQ Browser","BlackBerry","Unknown","Other"
2017-02,61.04,22.26,13.09,1.01,1.21,0.08,0.51,0.38,0.1,0.07,0.08,0,0.05,0.05,0.03,0.03
2017-03,60.86,22.59,13.2,0.88,1.2,0.06,0.4,0.36,0.1,0.1,0.07,0,0.05,0.05,0.02,0.03
2017-04,59.92,23.81,12.93,0.86,1.19,0.07,0.44,0.35,0.11,0.09,0.07,0,0.05,0.05,0.02,0.03
2017-05,59.89,24.02,12.73,0.88,1.2,0.08,0.44,0.34,0.12,0.07,0.08,0,0.05,0.05,0.03,0.03
2017-06,59.19,24.38,13.03,1,1.16,0.07,0.4,0.32,0.12,0.08,0.09,0,0.05,0.05,0.03,0.03
2017-07,58.79,24.65,13.18,1.03,1.11,0.07,0.4,0.32,0.11,0.09,0.09,0,0.05,0.05,0.02,0.04
2017-08,59.2,24.87,12.67,1.02,0.99,0.07,0.41,0.32,0.11,0.09,0.09,0,0.05,0.05,0.02,0.03
2017-09,59.46,24.89,12.17,1.1,0.98,0.28,0.42,0.32,0.13,0.06,0.06,0,0.05,0.04,0.02,0.03
2017-10,60.63,24.07,11.32,1.03,1.04,0.77,0.44,0.3,0.13,0.05,0.06,0,0.06,0.05,0.02,0.03
2017-11,61,24.16,11.04,0.99,0.99,0.73,0.43,0.29,0.12,0.04,0.06,0,0.06,0.04,0.02,0.03
2017-12,59.48,24.1,12.65,1,1.02,0.66,0.42,0.26,0.15,0.04,0.06,0,0.06,0.03,0.03,0.03
2018-01,58.95,24.11,13.32,0.97,0.96,0.63,0.39,0.26,0.16,0.05,0.06,0,0.06,0.03,0.02,0.03
2018-02,59.25,24.16,12.99,0.94,1,0.63,0.4,0.25,0.12,0.05,0.05,0,0.06,0.03,0.02,0.03
2018-03,60.56,23.95,12.05,0.92,0.91,0.61,0.4,0.24,0.12,0.05,0.05,0,0.06,0.03,0.02,0.03
2018-04,60.82,23.78,11.76,0.98,0.95,0.64,0.42,0.24,0.11,0.05,0.05,0,0.08,0.03,0.02,0.05
2018-05,60.52,24,11.81,0.98,1.01,0.65,0.42,0.22,0.1,0.05,0.05,0,0.09,0.04,0.02,0.03
2018-06,59.84,24.59,12.25,0.86,0.85,0.62,0.4,0.22,0.1,0.05,0.05,0,0.09,0.03,0.02,0.03
2018-07,59.26,24.41,13.26,0.75,0.74,0.63,0.41,0.21,0.1,0.05,0.05,0,0.06,0.03,0.02,0.03
2018-08,60.76,24.93,11.51,0.73,0.57,0.6,0.42,0.19,0.09,0.04,0.05,0,0.03,0.03,0.02,0.02
2018-09,62.39,24.21,10.76,0.68,0.47,0.6,0.42,0.19,0.09,0.04,0.05,0,0.03,0.03,0.02,0.02
2018-10,64.03,23.1,10.33,0.62,0.4,0.63,0.42,0.19,0.1,0.04,0.05,0,0.02,0.03,0.03,0.02
2018-11,67.95,18.19,11.14,0.65,0.42,0.69,0.44,0.2,0.11,0.07,0.05,0,0.02,0.03,0.02,0.03
2018-12,65.64,20.84,10.85,0.62,0.45,0.69,0.43,0.19,0.09,0.05,0.04,0,0.02,0.03,0.03,0.03
2019-01,66.58,20.42,10.53,0.57,0.41,0.62,0.42,0.18,0.07,0.05,0.04,0,0.02,0.02,0.03,0.03
2019-02,67.32,19.79,10.51,0.56,0.38,0.59,0.41,0.18,0.07,0.05,0.04,0,0.02,0.02,0.02,0.02
2019-03,64.29,23.5,9.95,0.54,0.35,0.57,0.37,0.17,0.09,0.05,0.04,0,0.02,0.02,0.02,0.02
2019-04,64.12,23.76,9.88,0.52,0.35,0.59,0.37,0.15,0.07,0.05,0.04,0,0.02,0.03,0.03,0.03
2019-05,64.52,23.97,9.23,0.52,0.34,0.63,0.38,0.15,0.07,0.05,0.04,0,0.02,0.03,0.02,0.02
2019-06,63.7,23.54,10.5,0.52,0.35,0.63,0.36,0.14,0.08,0.05,0.03,0,0.02,0.02,0.02,0.02
2019-07,64.11,23.23,10.46,0.53,0.36,0.61,0.33,0.14,0.08,0.05,0.03,0,0.03,0.02,0.02,0.02
2019-08,65.14,23.42,9.31,0.53,0.35,0.59,0.32,0.13,0.07,0.04,0.03,0,0.02,0,0.02,0.03
2019-09,66.05,23.43,8.49,0.49,0.32,0.54,0.34,0.12,0.07,0.05,0.03,0,0.02,0,0.02,0.03
2019-10,60.7,25.7,11.14,0.58,0.36,0.68,0.41,0.14,0.09,0.06,0.04,0,0.02,0,0.02,0.04
2019-11,56.27,29.18,12.07,0.62,0.34,0.73,0.37,0.15,0.11,0.05,0.03,0,0.02,0,0.02,0.04
2019-12,55.98,30.24,11.34,0.61,0.34,0.76,0.3,0.15,0.12,0.05,0.03,0,0.02,0,0.03,0.04
2020-01,52.93,32.42,12.2,0.61,0.32,0.78,0.3,0.15,0.11,0.04,0.03,0.01,0.02,0,0.03,0.04
2020-02,51.99,32.68,12.83,0.52,0.33,0.78,0.3,0.15,0.11,0.05,0.03,0.11,0.03,0.01,0.03,0.04
2020-03,50.8,33.81,12.97,0.44,0.31,0.77,0.31,0.16,0.12,0.06,0.02,0.11,0.03,0.02,0.03,0.04
2020-04,50.56,34.91,12.07,0.47,0.3,0.76,0.39,0.13,0.11,0.04,0.02,0.12,0.03,0.02,0.03,0.04
2020-05,49.63,36.35,11.75,0.48,0.29,0.75,0.28,0.1,0.1,0.02,0.01,0.14,0.02,0.02,0.04,0.03
2020-06,47.94,37.63,12.03,0.52,0.29,0.79,0.29,0.1,0.13,0.01,0.01,0.15,0.02,0.02,0.04,0.02
2020-07,47.42,38.66,11.54,0.57,0.27,0.78,0.25,0.09,0.12,0.01,0.01,0.17,0.02,0.02,0.03,0.02
2020-08,46.92,39.48,11.35,0.6,0.27,0.66,0.2,0.08,0.11,0.01,0.01,0.17,0.02,0.02,0.07,0.02
2020-09,46.86,39.77,11.42,0.62,0.26,0.3,0.23,0.08,0.1,0.01,0.02,0.2,0.02,0.02,0.09,0.02
2020-10,46.38,40.74,11.03,0.59,0.25,0.26,0.23,0.08,0.1,0.01,0.01,0.22,0.02,0.02,0.04,0.02
2020-11,46.36,40.48,11.37,0.6,0.23,0.25,0.19,0.08,0.1,0.01,0.01,0.24,0.02,0.01,0.03,0.02
2020-12,44.57,41.79,11.82,0.63,0.21,0.23,0.18,0.08,0.14,0.01,0.01,0.26,0.02,0.01,0.03,0.02
2021-01,43.54,42.69,12.02,0.61,0.2,0.22,0.16,0.07,0.14,0.01,0.01,0.26,0.02,0.01,0.03,0.02
2021-02,43.67,42.33,12.2,0.64,0.2,0.21,0.17,0.09,0.13,0.01,0.01,0.27,0.02,0.01,0.03,0.02
2021-03,43.07,43.26,11.88,0.65,0.2,0.2,0.17,0.07,0.12,0.01,0.01,0.28,0.02,0.01,0.03,0.02
2021-04,41.94,44.65,11.68,0.62,0.21,0.18,0.16,0.06,0.12,0.01,0.01,0.27,0.02,0.01,0.03,0.02
2021-05,40.69,46.11,11.4,0.66,0.21,0.18,0.16,0.05,0.14,0.01,0.01,0.29,0.02,0.01,0.03,0.02
2021-06,42.05,44.19,11.92,0.66,0.21,0.2,0.15,0.05,0.16,0.01,0.01,0.3,0.02,0.01,0.03,0.03
2021-07,40.93,45.38,11.89,0.63,0.19,0.22,0.15,0.05,0.14,0.01,0.01,0.31,0.02,0.01,0.03,0.02
2021-08,41.27,44.69,12.26,0.64,0.19,0.17,0.16,0.05,0.15,0.01,0.01,0.34,0.02,0.01,0.03,0.02
2021-09,41.33,44.38,12.42,0.65,0.19,0.16,0.16,0.05,0.14,0.03,0.01,0.32,0.02,0.01,0.04,0.08
2021-10,39.93,45.98,12.37,0.6,0.18,0.16,0.17,0.05,0.15,0.01,0.01,0.19,0.02,0.01,0.03,0.13
2021-11,39.86,46.03,12.46,0.61,0.15,0.17,0.18,0.05,0.17,0.01,0.01,0.17,0.02,0.01,0.03,0.09
2021-12,40.38,45.83,12.23,0.63,0.15,0.15,0.18,0.04,0.15,0.01,0.01,0.09,0.02,0.01,0.04,0.09
2022-01,39.44,46.31,12.65,0.64,0.15,0.15,0.17,0.04,0.17,0.02,0.01,0.06,0.01,0.01,0.04,0.14
2022-02,38.58,46.84,12.77,0.68,0.15,0.14,0.18,0.03,0.15,0.02,0.01,0.12,0.01,0.01,0.04,0.29
