"Date","Samsung","Apple","Huawei","Xiaomi","Unknown","Oppo","LG","Motorola","Lenovo","Mobicel","Nokia","Sony","Asus","BBK","HTC","Vivo","Micromax","Realme","Google","OnePlus","Tecno","General Mobile","ZTE","Infinix","Alcatel","Lava","Gionee","Itel","Lyf","Wiko","Coolpad","Vestel","Vodafone","Casper","RIM","QMobile","Hisense","AIS","Panasonic","LeEco","True","Meizu","Turkcell","bq","Reliance Digital","Intex","Xolo","Smartfren","InFocus","Blu","Condor","Karbonn","i-Mobile","Acer","dtac","Symphony","Yu","Kyocera","Spice","Lanix","Infinex","Archos","Sharp","Honor","Caterpillar","BlackBerry","Neffos","Opp","MyPhone","Comio","Turk Telecom","Smartisan","T-Mobile","Other"
2017-02,33.11,19.45,3.95,2.39,8.22,2.14,3.75,2.12,3.08,0.07,3.29,2.22,1.25,1.49,1.64,0,1.76,0,0.38,0.22,0.36,0.9,0.62,0.38,0.59,0.58,0.47,0.1,0.55,0.26,0.3,0.18,0.31,0.21,0.48,0.18,0.06,0.32,0.22,0.2,0.22,0.12,0.22,0.11,0.23,0.08,0.07,0.09,0.08,0.07,0.02,0.02,0.1,0.08,0.06,0.01,0.07,0.05,0.05,0.03,0,0.03,0.01,0,0.01,0.02,0,0,0.02,0,0.03,0,0,0.32
2017-03,33.16,19.5,3.95,2.59,8.13,2.34,3.72,2.13,3.11,0.12,2.97,2.13,1.27,1.63,1.6,0,1.77,0,0.39,0.23,0.27,0.93,0.63,0.2,0.58,0.58,0.47,0.1,0.54,0.25,0.3,0.2,0.31,0.22,0.39,0.17,0.06,0.3,0.22,0.21,0.23,0.12,0.23,0.11,0.22,0.1,0.08,0.08,0.08,0.08,0.02,0.03,0.1,0.08,0.06,0.02,0.07,0.05,0.06,0.03,0,0.03,0.01,0,0.01,0.02,0,0,0.02,0,0.03,0,0,0.37
2017-04,33.02,19.87,4.15,2.77,7.79,2.51,3.64,2.11,3.07,0.25,2.69,2.11,1.29,1.66,1.56,0,1.62,0,0.36,0.26,0.26,0.92,0.64,0.2,0.58,0.66,0.45,0.1,0.49,0.28,0.29,0.21,0.3,0.23,0.35,0.16,0.05,0.36,0.2,0.2,0.26,0.12,0.22,0.12,0.18,0.09,0.07,0.08,0.08,0.08,0.03,0.04,0.12,0.08,0.08,0.02,0.06,0.04,0.05,0.03,0,0.03,0.01,0,0.01,0.02,0,0,0.02,0,0.03,0,0,0.37
2017-05,33.17,19.32,4.37,3.06,7.56,2.83,3.58,2.1,3.07,0.43,2.7,2.04,1.32,1.74,1.49,0,1.54,0,0.35,0.26,0.26,0.84,0.64,0.21,0.57,0.64,0.47,0.1,0.49,0.28,0.29,0.21,0.28,0.22,0.34,0.16,0.05,0.35,0.19,0.2,0.24,0.12,0.21,0.12,0.17,0.09,0.07,0.09,0.07,0.08,0.02,0.04,0.12,0.08,0.08,0.02,0.06,0.04,0.04,0.03,0,0.03,0.01,0,0.01,0.02,0,0,0.02,0,0.03,0,0,0.37
2017-06,33.1,19.35,4.48,3.28,7.37,2.97,3.65,2.11,3.09,0.62,2.5,1.99,1.29,1.71,1.46,0,1.48,0,0.34,0.25,0.28,0.8,0.66,0.23,0.58,0.59,0.48,0.13,0.48,0.27,0.29,0.21,0.27,0.22,0.3,0.15,0.06,0.29,0.19,0.19,0.22,0.13,0.19,0.1,0.16,0.1,0.07,0.1,0.07,0.08,0.05,0.04,0.1,0.07,0.08,0.03,0.06,0.05,0.04,0.03,0,0.03,0.01,0,0.01,0.02,0,0,0.02,0,0.03,0,0,0.38
2017-07,33.4,18.78,4.56,3.55,7.59,3.06,3.69,2.19,3.09,0.78,2.42,1.93,1.29,1.63,1.41,0,1.37,0,0.34,0.23,0.3,0.8,0.64,0.23,0.57,0.52,0.47,0.15,0.43,0.25,0.3,0.22,0.27,0.23,0.3,0.18,0.06,0.25,0.18,0.18,0.23,0.13,0.18,0.08,0.14,0.09,0.07,0.12,0.06,0.08,0.04,0.04,0.08,0.07,0.07,0.04,0.05,0.05,0.03,0.03,0,0.03,0.01,0,0.01,0.02,0,0,0.02,0,0.03,0,0,0.38
2017-08,33.12,20.32,4.7,3.58,6.97,2.98,3.82,2.29,2.91,0.9,2.2,1.86,1.2,1.51,1.38,0,1.23,0,0.33,0.23,0.31,0.8,0.66,0.23,0.58,0.48,0.44,0.16,0.37,0.25,0.28,0.22,0.28,0.24,0.28,0.17,0.06,0.22,0.16,0.17,0.21,0.12,0.18,0.1,0.12,0.09,0.06,0.11,0.06,0.08,0.04,0.04,0.08,0.06,0.06,0.03,0.04,0.05,0.03,0.04,0,0.03,0.01,0,0.02,0.02,0,0,0.02,0,0.03,0,0,0.38
2017-09,33.71,19.37,4.85,3.59,7.42,3.02,3.82,2.31,2.86,0.97,2.07,1.88,1.21,1.39,1.35,0,1.17,0,0.31,0.24,0.34,0.79,0.66,0.25,0.61,0.47,0.41,0.17,0.34,0.26,0.25,0.23,0.29,0.24,0.27,0.17,0.06,0.22,0.15,0.15,0.21,0.11,0.17,0.11,0.11,0.08,0.06,0.13,0.06,0.09,0.04,0.04,0.07,0.06,0.06,0.03,0.04,0.04,0.03,0.05,0,0.03,0.01,0,0.02,0.02,0.01,0,0.02,0,0.03,0,0,0.39
2017-10,32.63,19.99,5.06,4,7.48,3.28,3.58,2.41,2.79,1.17,2.09,1.82,1.16,1.4,1.24,0,1.14,0,0.32,0.32,0.37,0.6,0.64,0.25,0.56,0.49,0.41,0.17,0.31,0.29,0.26,0.19,0.26,0.19,0.26,0.16,0.06,0.22,0.15,0.15,0.22,0.12,0.13,0.12,0.11,0.09,0.06,0.1,0.06,0.08,0.03,0.05,0.07,0.06,0.07,0.03,0.04,0.04,0.03,0.04,0,0.03,0.01,0,0.02,0.02,0.01,0,0.02,0,0.02,0,0,0.38
2017-11,31.88,20.34,5.06,4.38,7.46,3.34,3.52,2.54,2.86,1.33,1.96,1.78,1.13,1.38,1.23,0,1.21,0,0.34,0.32,0.37,0.58,0.63,0.25,0.49,0.5,0.44,0.18,0.33,0.28,0.27,0.19,0.22,0.18,0.22,0.15,0.05,0.2,0.16,0.16,0.21,0.12,0.13,0.13,0.11,0.1,0.06,0.08,0.07,0.08,0.03,0.06,0.07,0.05,0.07,0.03,0.05,0.04,0.04,0.03,0,0.03,0.01,0,0.02,0.02,0.01,0,0.02,0,0.02,0,0,0.37
