"Date","Apple","Samsung","Unknown","Amazon","Asus","Huawei","Acer","Google","Lenovo","General Mobile","Sony","RCA","Alcatel","Verizon","Microsoft","Casper","Vodafone","Xiaomi","Intel","eSTAR","Tecno","Tesco","Vestel","bq","ZTE","LG","Kupa","AlcateI","Nextbook","Reeder","HP","Medion","nVidia","Barnes & Noble","Dell","Prestigio","woPad","RIM","Itel","iBall","Advan","True","MLS","Gigaset","Insignia","Motorola","White Label","Toshiba","Alba","Turkcell","RCA Tablets","Quanta","Le Pan","Easypix","Other"
2017-02,66.12,17.53,5.21,2.36,1.36,0,0.77,0.75,0.68,0.54,0.35,0.33,0.27,0.3,0.38,0.28,0.14,0.1,0.22,0.2,0.24,0.17,0.23,0.11,0.06,0.14,0.2,0.03,0.09,0.09,0.02,0.01,0.06,0.07,0.08,0.01,0.05,0.05,0.06,0,0,0.02,0.01,0.04,0.01,0.03,0.02,0.03,0.02,0.02,0,0.01,0.02,0.01,0.1
2017-03,65.83,17.96,4.82,2.39,1.36,0.01,0.76,0.73,0.64,0.62,0.35,0.34,0.26,0.31,0.36,0.33,0.14,0.1,0.2,0.21,0.14,0.16,0.26,0.12,0.08,0.14,0.19,0.04,0.09,0.1,0.02,0.02,0.06,0.07,0.07,0.03,0.05,0.05,0.04,0.05,0,0.04,0.02,0.04,0.02,0.02,0.02,0.03,0.02,0.02,0.01,0.01,0.02,0.01,0.2
2017-04,65.14,18.55,4.78,2.33,1.4,0.01,0.76,0.72,0.67,0.72,0.37,0.32,0.27,0.29,0.35,0.35,0.15,0.1,0.2,0.22,0.13,0.16,0.25,0.12,0.08,0.13,0.17,0.05,0.09,0.1,0.02,0.03,0.06,0.07,0.07,0.03,0.04,0.05,0.04,0.05,0,0.07,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.23
2017-05,65.24,18.67,4.66,2.34,1.38,0.01,0.74,0.7,0.65,0.74,0.37,0.33,0.26,0.29,0.33,0.3,0.14,0.11,0.2,0.22,0.13,0.16,0.23,0.12,0.09,0.13,0.16,0.05,0.1,0.09,0.02,0.03,0.06,0.07,0.07,0.03,0.04,0.05,0.04,0.05,0,0.07,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.26
2017-06,64.52,19.04,4.7,2.54,1.37,0.01,0.73,0.7,0.65,0.78,0.38,0.38,0.26,0.32,0.32,0.29,0.15,0.11,0.19,0.19,0.14,0.16,0.21,0.1,0.11,0.14,0.15,0.06,0.11,0.08,0.02,0.04,0.07,0.08,0.07,0.03,0.04,0.05,0.04,0.05,0,0.06,0.02,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.28
2017-07,64.28,19.13,4.85,2.7,1.36,0.01,0.74,0.72,0.65,0.57,0.38,0.4,0.26,0.32,0.31,0.32,0.15,0.11,0.2,0.19,0.14,0.16,0.21,0.09,0.12,0.14,0.14,0.07,0.12,0.08,0.02,0.04,0.07,0.08,0.07,0.03,0.04,0.05,0.04,0.06,0,0.05,0.02,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.28
2017-08,65.04,18.62,4.76,2.68,1.31,0.01,0.73,0.73,0.63,0.53,0.38,0.4,0.27,0.32,0.32,0.32,0.16,0.11,0.19,0.2,0.14,0.16,0.2,0.1,0.11,0.13,0.12,0.07,0.11,0.08,0.02,0.04,0.07,0.07,0.06,0.03,0.04,0.05,0.04,0.05,0,0.04,0.02,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.28
2017-09,65.4,18.53,4.99,2.44,1.29,0.01,0.73,0.69,0.61,0.53,0.37,0.35,0.27,0.27,0.32,0.3,0.16,0.11,0.23,0.21,0.15,0.14,0.19,0.11,0.11,0.11,0.11,0.09,0.1,0.07,0.02,0.04,0.06,0.05,0.06,0.03,0.03,0.04,0.05,0.05,0.02,0.04,0.02,0.03,0.03,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.27
2017-10,66.4,17.65,5.03,2.59,1.23,0.01,0.74,0.66,0.61,0.48,0.37,0.35,0.25,0.27,0.3,0.23,0.18,0.11,0.22,0.22,0.14,0.15,0.15,0.12,0.11,0.11,0.1,0.08,0.09,0.06,0.01,0.04,0.06,0.05,0.05,0.03,0.03,0.05,0.04,0.05,0.04,0.04,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.01,0.25
2017-11,66.9,17.44,4.82,2.63,1.21,0.01,0.73,0.64,0.6,0.51,0.37,0.34,0.24,0.27,0.29,0.23,0.18,0.11,0.18,0.22,0.14,0.14,0.15,0.13,0.11,0.11,0.11,0.08,0.09,0.07,0.01,0.05,0.06,0.05,0.05,0.04,0.03,0.04,0.04,0.05,0.04,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.01,0.25
