"Date","Android","iOS","Unknown","Windows","Nokia Unknown","Samsung","Series 40","KaiOS","Tizen","BlackBerry OS","SymbianOS","Firefox OS","Linux","LG","Sony Ericsson","Other"
2017-02,71.98,19.45,3.41,1.13,1.5,0.44,0.85,0,0.25,0.45,0.26,0,0.14,0.05,0.03,0.06
2017-03,71.61,19.5,4.21,1.01,1.35,0.42,0.77,0,0.25,0.36,0.25,0,0.11,0.06,0.03,0.06
2017-04,71.84,19.87,4.1,0.96,1.22,0.36,0.69,0,0.22,0.32,0.23,0,0.07,0.05,0.02,0.05
2017-05,72.68,19.32,3.87,0.92,1.24,0.35,0.71,0,0.21,0.31,0.21,0,0.05,0.05,0.02,0.05
2017-06,72.89,19.35,3.86,0.89,1.19,0.34,0.6,0,0.22,0.28,0.2,0,0.05,0.05,0.02,0.05
2017-07,73.39,18.78,4.03,0.85,1.17,0.34,0.58,0,0.22,0.27,0.19,0,0.05,0.05,0.02,0.05
2017-08,72.74,20.32,3.42,0.82,1.06,0.33,0.51,0,0.2,0.26,0.17,0,0.05,0.05,0.02,0.05
2017-09,73.52,19.37,3.78,0.77,0.94,0.33,0.49,0,0.21,0.25,0.16,0,0.05,0.05,0.02,0.04
2017-10,73.05,19.99,3.65,0.75,0.89,0.33,0.51,0,0.2,0.23,0.17,0.07,0.04,0.05,0.02,0.04
2017-11,73.11,20.34,3.43,0.71,0.53,0.33,0.5,0,0.21,0.2,0.17,0.3,0.04,0.05,0.02,0.04
2017-12,73.54,19.91,3.54,0.64,0.29,0.34,0.53,0,0.23,0.18,0.18,0.46,0.04,0.05,0.03,0.04
2018-01,74.39,19.64,3.03,0.61,0.28,0.35,0.5,0,0.21,0.16,0.17,0.51,0.04,0.04,0.03,0.04
2018-02,74.78,20.15,2.53,0.58,0.24,0.28,0.37,0,0.17,0.15,0.15,0.45,0.05,0.04,0.02,0.04
2018-03,74.24,20.83,2.83,0.55,0.23,0.27,0.34,0.03,0.16,0.14,0.13,0.13,0.05,0.04,0.02,0.03
2018-04,75.66,19.23,3.05,0.54,0.24,0.27,0.36,0.04,0.18,0.14,0.14,0,0.06,0.04,0.02,0.03
2018-05,76.53,18.97,2.69,0.49,0.22,0.26,0.31,0.04,0.16,0.11,0.11,0,0.05,0.04,0.01,0.03
2018-06,76.99,18.91,2.34,0.47,0.2,0.26,0.28,0.03,0.15,0.09,0.1,0,0.11,0.03,0.01,0.03
2018-07,77.32,19.4,1.74,0.43,0.18,0.24,0.24,0.02,0.14,0.08,0.08,0,0.06,0.02,0.01,0.03
2018-08,76.82,20.45,1.23,0.4,0.18,0.28,0.23,0.02,0.13,0.08,0.08,0,0.06,0.02,0.01,0.02
2018-09,76.61,20.66,0.83,0.37,0.16,0.27,0.2,0.56,0.12,0.06,0.07,0,0.06,0.01,0.01,0.02
2018-10,74.69,22.34,0.68,0.36,0.16,0.3,0.2,0.93,0.12,0.06,0.07,0,0.06,0.01,0.01,0.02
