"Date","iOS","Android","Windows","Linux","Unknown","BlackBerry OS","Other"
2017-02,66.12,33.19,0.38,0.13,0.12,0.05,0.01
2017-03,65.83,33.45,0.36,0.14,0.16,0.05,0.01
2017-04,65.14,34.17,0.35,0.13,0.15,0.05,0.01
2017-05,65.24,34.12,0.34,0.1,0.15,0.05,0.01
2017-06,64.52,34.83,0.32,0.11,0.15,0.05,0.01
2017-07,64.28,35.07,0.31,0.13,0.15,0.05,0.01
2017-08,65.04,34.32,0.32,0.13,0.13,0.05,0.01
2017-09,65.4,34.01,0.32,0.09,0.13,0.04,0.01
2017-10,66.4,33.04,0.3,0.08,0.12,0.05,0.01
2017-11,66.9,32.58,0.29,0.08,0.11,0.04,0.01
2017-12,65.46,34.06,0.26,0.07,0.11,0.03,0.01
2018-01,64.52,35,0.26,0.08,0.1,0.03,0.01
2018-02,64.78,34.73,0.25,0.09,0.1,0.03,0.01
2018-03,66.74,32.76,0.24,0.09,0.13,0.03,0.01
2018-04,66.63,32.87,0.25,0.11,0.12,0.03,0.01
2018-05,66.38,33.17,0.22,0.08,0.1,0.04,0.01
2018-06,65.65,33.93,0.22,0.09,0.07,0.03,0
2018-07,65.03,34.58,0.21,0.08,0.06,0.03,0.01
2018-08,67.09,32.55,0.19,0.08,0.05,0.03,0
2018-09,68.73,30.92,0.19,0.08,0.04,0.03,0
2018-10,70.5,29.17,0.19,0.09,0.03,0.03,0
2018-11,74.62,25.01,0.2,0.12,0.03,0.03,0
2018-12,72.32,27.34,0.19,0.08,0.03,0.03,0
2019-01,73.37,26.32,0.18,0.08,0.02,0.02,0
2019-02,74.24,25.45,0.18,0.08,0.02,0.02,0
2019-03,70.82,28.89,0.17,0.08,0.02,0.02,0
2019-04,70.95,28.78,0.15,0.08,0.02,0.03,0
2019-05,71.22,28.5,0.15,0.08,0.02,0.03,0
2019-06,70.2,29.53,0.14,0.08,0.02,0.02,0
2019-07,70.56,29.18,0.14,0.08,0.02,0.02,0
2019-08,71.81,27.97,0.13,0.07,0.01,0,0
2019-09,72.71,27.08,0.12,0.07,0.01,0,0.01
2019-10,66.32,33.42,0.14,0.08,0.02,0,0.01
2019-11,62.94,36.81,0.15,0.07,0.02,0,0.01
2019-12,63.11,36.65,0.15,0.07,0.02,0,0
2020-01,60.63,39.13,0.15,0.07,0.01,0,0
2020-02,60.38,39.37,0.15,0.07,0.01,0.01,0
2020-03,59.7,40.04,0.16,0.07,0.01,0.02,0
2020-04,60.35,39.43,0.13,0.06,0.01,0.02,0
2020-05,60.09,39.75,0.1,0.03,0.01,0.02,0
2020-06,58.66,41.18,0.1,0.03,0.01,0.02,0
2020-07,58.48,41.37,0.09,0.03,0.01,0.02,0
2020-08,58.66,41.2,0.08,0.03,0.01,0.02,0
2020-09,59.09,40.77,0.08,0.03,0.01,0.02,0
2020-10,58.86,41.02,0.08,0.02,0,0.02,0
2020-11,58.73,41.16,0.08,0.02,0,0.01,0
2020-12,56.62,43.27,0.08,0.02,0,0.01,0
2021-01,55.96,43.93,0.07,0.02,0.01,0.01,0
2021-02,56.31,43.56,0.09,0.03,0.01,0.01,0
2021-03,56.26,43.62,0.07,0.03,0.01,0.01,0
2021-04,55.3,44.59,0.06,0.03,0.01,0.01,0
2021-05,54.34,45.56,0.05,0.02,0.01,0.01,0
2021-06,56.38,43.52,0.05,0.02,0.01,0.01,0
2021-07,55.2,44.72,0.05,0.02,0.01,0.01,0
2021-08,55.16,44.76,0.05,0.02,0.01,0.01,0
2021-09,54.55,45.33,0.05,0.04,0.01,0.01,0
2021-10,55.03,44.88,0.05,0.02,0.01,0.01,0
2021-11,55.9,44.01,0.05,0.02,0.01,0.01,0
2021-12,55.66,44.25,0.04,0.02,0.01,0.01,0
2022-01,54.73,45.17,0.04,0.03,0.01,0.01,0
2022-02,53.97,45.94,0.03,0.03,0.01,0.01,0
