"Date","Google","bing","Yahoo!","YANDEX RU","Baidu","YANDEX","DuckDuckGo","Sogou","Haosou","MSN","Naver","Ecosia","Mail.ru","Daum","Seznam","CocCoc","Qwant","Ask Jeeves","AOL","Norton Safe Search","t-online","Other"
2017-02,88.84,4.75,3.17,0.85,0.59,0.57,0.23,0.07,0.26,0.08,0.07,0,0.11,0.09,0.05,0.02,0,0.08,0.06,0.01,0,0.09
2017-03,88.49,4.94,3.36,0.78,0.64,0.59,0.27,0.04,0.26,0.09,0.08,0,0.1,0.07,0.05,0.02,0,0.06,0.06,0.01,0,0.09
2017-04,88.55,4.86,3.29,0.75,0.68,0.61,0.27,0.04,0.29,0.12,0.09,0,0.1,0.05,0.06,0.03,0,0.06,0.06,0.01,0,0.08
2017-05,88.36,4.82,3.41,0.7,0.75,0.56,0.28,0.03,0.34,0.2,0.1,0,0.1,0.06,0.05,0.03,0,0.06,0.06,0.01,0,0.07
2017-06,87.16,5.22,3.8,0.81,0.84,0.66,0.3,0.04,0.41,0.17,0.11,0,0.12,0.06,0.07,0.03,0,0.06,0.06,0.01,0,0.07
2017-07,86.83,5.13,3.96,0.89,0.84,0.86,0.33,0.05,0.4,0.11,0.1,0,0.11,0.07,0.07,0.03,0,0.05,0.06,0.01,0,0.08
2017-08,86.71,5.1,4,0.74,0.93,0.77,0.33,0.06,0.4,0.41,0.09,0,0.09,0.08,0.07,0.03,0,0.05,0.06,0.01,0,0.07
2017-09,87.08,5.11,3.85,0.76,0.83,0.65,0.35,0.05,0.37,0.45,0.09,0,0.08,0.05,0.07,0.03,0,0.05,0.05,0.01,0,0.07
2017-10,87.16,5.49,3.72,0.77,0.85,0.61,0.36,0.05,0.37,0.12,0.09,0,0.09,0.07,0.06,0.03,0,0.04,0.04,0.02,0,0.07
2017-11,87.7,5.51,3.08,0.91,0.82,0.56,0.34,0.05,0.38,0.11,0.12,0,0.09,0.1,0.05,0.03,0.01,0.03,0.03,0.02,0.01,0.07
2017-12,87.1,5.82,2.98,1.08,0.86,0.65,0.36,0.06,0.37,0.13,0.12,0,0.09,0.1,0.06,0.03,0.02,0.03,0.03,0.02,0.01,0.08
2018-01,87.35,5.79,3.07,1.07,0.74,0.59,0.34,0.07,0.27,0.12,0.13,0,0.09,0.12,0.06,0.02,0.02,0.03,0.01,0.02,0.01,0.08
2018-02,87.52,5.68,3.17,1.17,0.64,0.52,0.3,0.05,0.24,0.13,0.13,0,0.08,0.13,0.06,0.02,0.02,0.03,0.01,0.02,0.01,0.08
2018-03,86.55,6.22,3.44,1.22,0.79,0.35,0.35,0.06,0.33,0.05,0.14,0,0.09,0.15,0.07,0.03,0.02,0.03,0,0.02,0.01,0.07
2018-04,86.28,6.45,3.41,1.21,0.93,0.25,0.39,0.06,0.35,0.01,0.15,0,0.09,0.15,0.07,0.03,0.03,0.03,0,0.02,0.02,0.07
2018-05,86.27,6.54,3.38,1.03,1.03,0.23,0.38,0.07,0.27,0.02,0.16,0,0.08,0.24,0.08,0.03,0.03,0.03,0,0.02,0.02,0.08
2018-06,85.95,6.54,3.37,1.1,1.06,0.24,0.38,0.07,0.17,0.18,0.17,0,0.08,0.39,0.08,0.04,0.03,0.03,0,0.02,0.01,0.08
2018-07,86.02,6.55,3.27,1.07,1.08,0.28,0.36,0.06,0.17,0.25,0.17,0,0.08,0.34,0.08,0.04,0.03,0.03,0.01,0.02,0.02,0.07
2018-08,86.66,6.57,3.18,1.01,0.83,0.26,0.37,0.07,0.16,0.19,0.15,0,0.08,0.17,0.07,0.04,0.03,0.03,0.01,0.03,0.02,0.08
2018-09,89.12,4.25,3.15,1.05,0.61,0.35,0.44,0.06,0.15,0.2,0.15,0,0.09,0.05,0.08,0.04,0.03,0.03,0.01,0.03,0.02,0.07
2018-10,90.28,3.82,2.76,1.01,0.55,0.32,0.41,0.05,0.11,0.2,0.13,0,0.08,0.04,0.06,0.03,0.03,0.02,0.01,0.02,0.02,0.06
2018-11,91.46,3.36,2.37,0.9,0.49,0.29,0.38,0.04,0.09,0.21,0.12,0,0.07,0.03,0.05,0.01,0.03,0.02,0.01,0.02,0.01,0.05
2018-12,89.63,3.98,2.83,1.1,0.62,0.52,0.46,0.04,0.11,0.24,0.11,0,0.08,0.03,0.06,0.02,0.04,0.02,0.01,0.02,0.02,0.07
2019-01,89.95,3.99,2.84,0.99,0.56,0.39,0.44,0.04,0.09,0.29,0.09,0,0.08,0.02,0.06,0.01,0.04,0.02,0.01,0.02,0.02,0.06
2019-02,90.22,4.2,2.65,0.87,0.53,0.36,0.45,0.04,0.07,0.2,0.09,0,0.08,0.02,0.05,0.02,0.04,0.02,0,0.02,0.02,0.06
2019-03,88.45,4.88,2.99,0.91,0.64,0.61,0.5,0.24,0.1,0.22,0.1,0,0.09,0.03,0.06,0.02,0.04,0.02,0.01,0.03,0.02,0.07
2019-04,88.47,4.81,3.13,0.92,0.66,0.36,0.47,0.38,0.1,0.19,0.13,0,0.08,0.03,0.06,0.02,0.04,0.02,0,0.03,0.02,0.06
