"Date","Google","bing","Yahoo!","DuckDuckGo","Baidu","YANDEX","YANDEX RU","Seznam","Ecosia","Naver","MSN","Qwant","Other"
2017-02,90.98,4,3.34,0.35,0.75,0.14,0.27,0.02,0,0.01,0.02,0,0.11
2017-03,90.76,4.11,3.43,0.37,0.77,0.15,0.26,0.02,0,0.01,0.02,0,0.11
2017-04,91.19,3.89,3.21,0.37,0.75,0.17,0.26,0.03,0,0.02,0.02,0,0.1
2017-05,91.06,3.88,3.25,0.37,0.86,0.17,0.25,0.03,0,0.02,0.03,0,0.1
2017-06,90.67,4.02,3.37,0.41,0.92,0.19,0.25,0.02,0,0.02,0.03,0,0.09
2017-07,90.19,4.28,3.51,0.45,0.91,0.24,0.25,0.03,0,0.02,0.01,0,0.1
2017-08,89.6,4.46,3.6,0.51,0.96,0.28,0.25,0.03,0,0.02,0.19,0,0.1
2017-09,89.88,4.23,3.55,0.54,0.87,0.21,0.28,0.03,0,0.02,0.31,0,0.09
2017-10,90.57,4.15,2.99,0.58,1.05,0.21,0.31,0.02,0,0.02,0.01,0,0.09
2017-11,91.84,4.19,1.73,0.61,0.96,0.18,0.34,0.02,0,0.03,0,0.01,0.09
2017-12,91.73,4.32,1.64,0.68,0.93,0.15,0.36,0.03,0,0.03,0,0.01,0.12
2018-01,90.88,4.36,2.62,0.63,0.82,0.14,0.35,0.03,0,0.03,0,0.01,0.12
2018-02,90.5,4.29,3.11,0.57,0.88,0.13,0.33,0.03,0,0.03,0,0.01,0.11
2018-03,90.21,4.44,3.2,0.63,0.92,0.09,0.35,0.03,0,0.03,0.01,0.01,0.09
2018-04,89.48,4.71,3.36,0.71,1.12,0.08,0.37,0.03,0,0.02,0,0.01,0.09
2018-05,89.47,4.67,3.24,0.75,1.23,0.08,0.38,0.04,0,0.02,0,0.01,0.1
2018-06,89.19,4.78,3.34,0.78,1.28,0.09,0.37,0.04,0,0.03,0,0.01,0.09
2018-07,88.27,4.89,4.08,0.77,1.36,0.11,0.36,0.04,0,0.02,0,0.01,0.08
2018-08,88.17,4.79,4.67,0.8,0.96,0.11,0.34,0.03,0,0.02,0,0.01,0.09
2018-09,88.98,4.19,4.83,0.88,0.49,0.15,0.34,0.03,0,0.03,0,0.01,0.07
2018-10,89.23,3.89,4.94,0.86,0.49,0.14,0.33,0.02,0,0.02,0,0.01,0.06
2018-11,88.54,4.33,4.92,1,0.58,0.15,0.35,0.02,0,0.02,0,0.02,0.07
2018-12,89.51,4.3,3.92,1.04,0.57,0.2,0.33,0.02,0,0.02,0,0.02,0.06
2019-01,90.24,4.4,3.19,1.04,0.55,0.14,0.31,0.02,0,0.02,0.01,0.02,0.06
2019-02,90.09,4.44,3.26,1.08,0.59,0.13,0.3,0.02,0,0.02,0,0.01,0.06
2019-03,90.47,4.23,3.05,1.05,0.51,0.28,0.28,0.02,0,0.02,0,0.02,0.06
2019-04,90.53,4.13,3.18,1.07,0.54,0.15,0.27,0.03,0,0.02,0,0.02,0.06
2019-05,90.68,4.02,3.15,1.09,0.52,0.16,0.25,0.03,0,0.02,0.01,0.02,0.06
2019-06,90.23,4.23,3.15,1.19,0.6,0.18,0.29,0.03,0,0.03,0,0.02,0.06
