"Data Source","World Development Indicators",

"Last Updated Date","2021-11-23",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Market capitalization of listed domestic companies (current US$)","CM.MKT.LCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Market capitalization of listed domestic companies (current US$)","CM.MKT.LCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","220555330000","266377050000","284227750000","249978490000","237239920000","174804740000","265980580000","208384270000","150470640000","","","450493869400","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Market capitalization of listed domestic companies (current US$)","CM.MKT.LCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Market capitalization of listed domestic companies (current US$)","CM.MKT.LCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4038650000","","","25186410000","37745770000","95601030000","57994450000","40774750000","60652210000","48414500000","","92428750000","74476710000","62466910000","","","","","73147850000",
"Angola","AGO","Market capitalization of listed domestic companies (current US$)","CM.MKT.LCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Albania","ALB","Market capitalization of listed domestic companies (current US$)","CM.MKT.LCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Market capitalization of listed domestic companies (current US$)","CM.MKT.LCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Market capitalization of listed domestic companies (current US$)","CM.MKT.LCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","743473762462.956","633862168215.664","655727815679.076","1000951923871.51","1102285518844.92","1066233999727.03","999400895554.649","1019319983988.79","1079360063512.25","3126480800000","3180256580000",
"United Arab Emirates","ARE","Market capitalization of listed domestic companies (current US$)","CM.MKT.LCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","126205030000","107354250000","138243960000","131490760000","93726650000","101327920000","180324800000","201598930000","195874110000","213212763813.622","232103890000","231377494894.486","246818780000","294831940000",
"Argentina","ARG","Market capitalization of listed domestic companies (current US$)","CM.MKT.LCAP.CD","","","","","","","","","","","","","","","","","","832500000","1795400000","4319860000","3954900000","1396230000","972900000","1386290000","1170700000","2035830000","1590930000","1418130000","2552540000","3197870000","3615300000","18639700000","18623100000","44055310000","36867200000","37783780000","44692350000","59251850000","45332800000","55847580000","45839340000","33384000000","16571000000","34994620000","40593870000","47590300000","51240130000","57070160000","39850360000","45744930000","63909790000","43579790000","34254750000","53104790000","60142040000","56134630000","63601116144.457","108740050000","45986050000","39393540000","",
